umol/g,,Alanine,Glycine,Taurine,Phenylalanine,Glutamate,Serine,Valine,Threonine,Isoleucine,Asparagine,Aspartic acid,proline,Tyrosine,Citrulline,methionine sulfoxide,arginine,lysine,histidine,tryptophan,glutamine
190909X_YZ_S73,W6_WT_DSS+CRA_G3,4.23,2.55,0.01,1.15,7.83,1.34,3.09,2.15,3.42,0.36,3.49,1.16,2.05,1.84,0.38,1.38,6.23,0.31,0.24,0.18
190909X_YZ_S74,W6_WT_DSS+CRA_G4,7.33,5.36,0.01,1.62,11.19,1.20,4.26,3.01,5.53,1.52,1.98,1.79,4.50,3.15,0.42,1.30,9.71,0.21,0.25,0.46
190909X_YZ_S75,W6_WT_DSS+CRA_G5,6.90,4.75,0.04,1.56,10.63,0.99,3.98,2.55,5.43,0.59,3.05,1.55,3.75,2.70,0.29,0.96,9.35,0.32,0.26,0.17
190909X_YZ_S76,W6_WT_DSS+CTL_H1,4.28,3.67,6.57,1.64,5.99,2.27,5.62,3.01,5.83,4.19,2.88,1.32,3.80,1.08,0.62,2.28,7.80,0.74,0.89,0.35
190909X_YZ_S77,W6_WT_DSS+CTL_H2,4.29,3.07,0.00,1.01,6.74,1.38,3.60,2.17,3.21,0.64,1.00,1.23,1.44,0.65,0.56,1.73,5.98,0.03,0.15,0.08
190909X_YZ_S78,W6_WT_DSS+CTL_H3,3.17,1.82,0.00,0.54,4.29,0.68,2.01,1.19,1.60,0.00,0.28,0.69,0.54,0.51,0.16,0.16,3.61,0.00,0.03,0.01
190909X_YZ_S79,W6_WT_DSS+CTL_H4,1.44,0.62,0.00,0.24,1.25,0.36,0.81,0.48,0.58,0.00,0.23,0.33,0.09,0.02,0.02,0.14,1.23,0.01,0.01,0.00
190909X_YZ_S80,W6_WT_DSS+CTL_H5,2.86,1.91,0.00,0.71,5.33,1.13,2.62,1.48,2.12,0.09,1.94,1.05,0.66,0.41,0.42,0.40,3.21,0.14,0.13,0.04
190908X_YZ_blank_4,BLK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
190908X_YZ_DC blank_rep,DC blank,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
190909X_YZ_QC3,QC3,4.35,2.66,0.04,1.11,6.65,1.34,3.48,2.11,3.75,0.41,2.08,1.22,1.85,1.36,0.49,1.11,6.55,0.14,0.20,0.15
190909X_YZ_AIN93M,,0.02,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
190909X_YZ_PEITC,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
190909X_YZ_Cranberry,,0.04,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
